org,total_repos,lenguajes
shinyay,8,"COBOL, Java, JavaScript, SCSS"
soyrochus,8,"HTML, JavaScript, Python"
stickerverse,8,"HTML, JavaScript, Python, TypeScript"
subhobrata,8,"C, Dockerfile, HCL, Python"
sukhsinghntn,8,"CSS, HTML"
swerb420,8,Python
terisuke,8,"Astro, JavaScript, Python, TypeScript"
tomymaritano,8,"JavaScript, TypeScript, Vue"
tordaht,8,"EJS, HTML, JavaScript, Python"
tsilva,8,"Jupyter Notebook, Python"
vgpunks,8,Lua
vmudinas,8,"C#, HTML, JavaScript, Python, Swift, TypeScript"
wjkennedy,8,"C, JavaScript, Python, Vim Script"
wultra,8,"Dart, Java, Kotlin, Swift, TypeScript"
yapweijun1996,8,"ColdFusion, HTML, JavaScript"
yesthisischris,8,"Jupyter Notebook, Python, TypeScript"
yu-iskw,8,"C#, Go, HTML, Python, Shell, TypeScript"
zebook-ia,8,"JavaScript, Jupyter Notebook, Python, Ruby, Shell"
0zzyy,7,Python
123actionbarcelona,7,"CSS, JavaScript"
14eKake,7,"C#, HTML, JavaScript"
17air,7,Kotlin
1karthikmohan,7,TypeScript
Ale-Nic,7,"JavaScript, Python"
AllenGSimpson,7,"F#, Lua, Python"
Alsairy,7,"C#, HTML, TypeScript"
AlvaroLS01,7,"Dart, Java, JavaScript"
Andersgoliversen,7,"CSS, HTML, JavaScript, PHP, Python"
Arbuzov,7,"JavaScript, Mustache, Python, Smarty"
AshKuhlmann,7,"Python, Ruby"
AureliusIvan,7,TypeScript
BryanLuyo,7,"C#, JavaScript, PHP, TypeScript"
BudEcosystem,7,"Go, Python, Rust, TypeScript"
Bwillia13x,7,"HTML, JavaScript, Python, TypeScript"
Cap-go,7,"Java, MDX, TypeScript, Vue"
Carisky,7,"C#, JavaScript, PHP, TypeScript"
CarlosJChileS,7,"Java, JavaScript, TypeScript"
ChristianKleineidam,7,"C, Dart"
CircusHan,7,"HTML, JavaScript, Python"
Comfy-Org,7,"JavaScript, MDX, TypeScript"
Csabesz1130,7,"Python, TypeScript"
Daave2,7,"HTML, Python"
DcSyedFaraz,7,"Blade, JavaScript, PHP, TypeScript"
Donj63000,7,"Java, Python"
Drakonis96,7,"C++, HTML, Python, TypeScript"
EDY28-M,7,"C#, HTML, JavaScript, PHP, TypeScript"
Eljah,7,"Java, JavaScript"
EvilEvan,7,"HTML, JavaScript, Python"
Fabricio333,7,"HTML, JavaScript, Kotlin, TypeScript"
Fadil369,7,"JavaScript, Python, TypeScript"
FreddyE1982,7,Python
Github904868699,7,"C, C++, Python"
Gms006,7,Python
Jakob37,7,"Dart, Rust, TypeScript"
JeanCruzC,7,Python
Jij-Inc,7,"C++, HTML, Python, Rust"
Jimi421,7,"JavaScript, Python, TypeScript"
LEE-HYUNSANG,7,"JavaScript, Kotlin, Python, TypeScript"
MYaelMendez,7,"C, HCL, JavaScript, Jupyter Notebook, Python, TypeScript"
Maidenfan78,7,"MQL4, Python, TypeScript"
MoinsenWerner,7,"Java, Kotlin, PHP, Python"
NaziClaus,7,"Java, Python"
Nicxe,7,"JavaScript, Python"
NikitHamal,7,"HTML, Java, JavaScript"
PGrayCS,7,"C#, DM, HTML, JavaScript, Python"
Parmjot23,7,"CSS, JavaScript, Python, TypeScript"
PierrunoYT,7,"Python, TypeScript"
Pkalliagkas1989,7,"Go, JavaScript"
QuenumGerald,7,"Go, JavaScript, TypeScript"
R3D-R4V3N,7,"Java, Python"
RajAgamSinghKalra,7,"GLSL, Python, TypeScript"
RobotAvi,7,"JavaScript, Kotlin, Python"
RobotsBuildingEducation,7,"HTML, JavaScript, TypeScript"
RyanLisse,7,"HTML, TypeScript"
STRHercules,7,"C, C#, HTML, Lua, Python"
SamMorrowDrums,7,"Go, HTML, JavaScript"
Secured-Finance,7,"JavaScript, TypeScript"
Sniffr,7,"JavaScript, Python, TypeScript"
